run_id,experiment,family,variant,variant_group,target,model,roc_auc_mean,roc_auc_std,bal_accuracy_mean,bal_accuracy_std,naive_accuracy,pred_positive_pct,n_samples,n_features,delta_auc_vs_baseline,delta_bal_acc_vs_baseline
run_20260407_225709,baseline,baseline,M3_combined,combined,label_6m,random_forest,0.6785714285714286,0.05238117758134744,0.6308497536945813,0.020550272348818607,0.6588235294117647,20.0,425,430,0.0,0.0
run_20260407_225709,baseline,baseline,M3_combined,combined,label_6m,xgboost,0.7257389162561576,0.03283492354384528,0.6722906403940886,0.04234044953608098,0.6588235294117647,32.5,425,430,0.0,0.0
run_20260407_225709,baseline,baseline,M1_text,text,label_1y,logistic_regression,0.64432538909453,0.06396830158590389,0.5775986952199693,0.04990190206743676,0.691764705882353,35.1,425,401,0.0,0.0
run_20260407_225709,baseline,baseline,M1_text,text,label_1y,ridge,0.587291382557309,0.0501737325778011,0.5500782601600837,0.037362872006546734,0.691764705882353,38.8,425,401,0.0,0.0
run_20260407_225709,baseline,baseline,M1_text,text,label_1y,random_forest,0.648568754880853,0.07198883746328583,0.5284941080090115,0.037283327357329324,0.691764705882353,10.6,425,401,0.0,0.0
run_20260407_225709,baseline,baseline,M1_text,text,label_1y,xgboost,0.6050546072755306,0.050734778049524386,0.5526270437141273,0.02114979023158511,0.691764705882353,20.9,425,401,0.0,0.0
run_20260407_225709,baseline,baseline,M2_multiples,structured,label_1y,logistic_regression,0.6808499196003338,0.05977326438035727,0.6413548878087101,0.04423643087733644,0.6982591876208897,47.6,517,29,0.0,0.0
run_20260407_225709,baseline,baseline,M2_multiples,structured,label_1y,ridge,0.6886500297662886,0.05922012726268922,0.5811872452987676,0.032427681258254015,0.6982591876208897,14.9,517,29,0.0,0.0
run_20260407_225709,baseline,baseline,M2_multiples,structured,label_1y,random_forest,0.6903121087420828,0.04206468704649186,0.6325950066283694,0.023483260110778774,0.6982591876208897,34.0,517,29,0.0,0.0
run_20260407_225709,baseline,baseline,M2_multiples,structured,label_1y,xgboost,0.6805497442247262,0.030391879501335272,0.6555486510040751,0.04503416352425735,0.6982591876208897,36.6,517,29,0.0,0.0
run_20260407_225709,baseline,baseline,M3_combined,combined,label_1y,logistic_regression,0.6889221910846691,0.07308884252383428,0.6053037909554566,0.055223998616239466,0.691764705882353,35.8,425,430,0.0,0.0
run_20260407_225709,baseline,baseline,M3_combined,combined,label_1y,ridge,0.6056825201769678,0.05082384207992819,0.5744932654634584,0.04448828610011978,0.691764705882353,36.9,425,430,0.0,0.0
run_20260407_225709,baseline,baseline,M3_combined,combined,label_1y,random_forest,0.6883180892532149,0.08371384266613424,0.5586350928548474,0.042482495636007,0.691764705882353,12.5,425,430,0.0,0.0
run_20260407_225709,baseline,baseline,M3_combined,combined,label_1y,xgboost,0.671230566087375,0.03932955054007451,0.6290520030438207,0.03532017067970493,0.691764705882353,29.4,425,430,0.0,0.0
run_20260407_232546,enhanced_v1,enhanced,E1_text_enhanced,text,label_1m,logistic_regression,0.6077519379844961,0.03873056966527176,0.5815060908084165,0.04549177197849751,0.5058823529411764,52.7,425,413,-0.004318936877076407,5.5370985603597767e-05
run_20260407_232546,enhanced_v1,enhanced,E1_text_enhanced,text,label_1m,ridge,0.5705426356589147,0.04856082789810179,0.5578626799557032,0.0532569872205463,0.5058823529411764,51.8,425,413,-0.012070874861572434,0.00022148394241416902
run_20260407_232546,enhanced_v1,enhanced,E1_text_enhanced,text,label_1m,random_forest,0.636655592469546,0.02550048808792781,0.6029346622369879,0.025394343775499487,0.5058823529411764,54.8,425,413,0.0168327796234774,-0.009357696566998808
run_20260407_232546,enhanced_v1,enhanced,E1_text_enhanced,text,label_1m,xgboost,0.6122923588039867,0.03642956412028246,0.5866002214839424,0.035985773515824014,0.5058823529411764,56.0,425,413,0.005426356589147252,0.009413067552602405
run_20260407_232546,enhanced_v1,enhanced,E2_structured_enhanced,structured,label_1m,logistic_regression,0.6246136191850477,0.05223718352806002,0.59192784992785,0.03757065845881058,0.5241779497098646,49.3,517,75,0.05899360956503796,0.04268604411461563
run_20260407_232546,enhanced_v1,enhanced,E2_structured_enhanced,structured,label_1m,ridge,0.6372538995396139,0.06099759684530859,0.6037839620696763,0.05018300795344508,0.5241779497098646,46.4,517,75,0.08417425960283109,0.07182986325843466
run_20260407_232546,enhanced_v1,enhanced,E2_structured_enhanced,structured,label_1m,random_forest,0.6577365491651206,0.03863196187697122,0.626118463547035,0.03965859419822646,0.5241779497098646,48.2,517,75,0.02797223940081084,0.04912402940974381
run_20260407_232546,enhanced_v1,enhanced,E2_structured_enhanced,structured,label_1m,xgboost,0.6583501683501684,0.04540191103091888,0.6409824778396208,0.03060037170836713,0.5241779497098646,51.1,517,75,0.05150800522229093,0.0698078746650177
run_20260407_232546,enhanced_v1,enhanced,E3_combined_enhanced,combined,label_1m,logistic_regression,0.6200442967884829,0.04632324874516724,0.5791805094130675,0.03882015533634956,0.5058823529411764,52.9,425,476,0.0007751937984497026,-0.0046511627906976605
run_20260407_232546,enhanced_v1,enhanced,E3_combined_enhanced,combined,label_1m,ridge,0.5728682170542635,0.044913481336399955,0.546124031007752,0.0394393813789285,0.5058823529411764,52.0,425,476,-0.013953488372093092,-0.020985603543743014
run_20260407_232546,enhanced_v1,enhanced,E3_combined_enhanced,combined,label_1m,random_forest,0.6368770764119601,0.02775053268367818,0.6121262458471761,0.01858684482484964,0.5058823529411764,52.9,425,476,0.0055370985603543366,-0.00011074197120708451
run_20260407_232546,enhanced_v1,enhanced,E3_combined_enhanced,combined,label_1m,xgboost,0.609080841638981,0.02661726530793969,0.598062015503876,0.023625573889058258,0.5058823529411764,53.4,425,476,-0.00631229235880415,-0.0023255813953488857
